Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Goin' Crazy""",Natalie,Q6968113,United States of America,female
"""Inside Your Heaven""",Carrie Underwood,Q215546,United States of America,female
"""Because of You""",Kelly Clarkson,Q483507,United States of America,female
"""Truth Is""",Fantasia,Q232288,United States of America,female
"""Your Body""",Pretty Ricky,Q386406,United States of America,Unknown
"""Beautiful Soul""",Jesse McCartney,Q191842,United States of America,male
"""Cool""",Gwen Stefani,Q483379,United States of America,female
"""Get Back""",Ludacris,Q193676,United States of America,male
"""Outta Control""",50 Cent featuring Mobb Deep,Q6060,United States of America,male
"""U Don't Know Me""",T.I.,Q214227,United States of America,male
"""These Words""",Natasha Bedingfield,Q212906,United Kingdom,female
"""Don't Lie""",The Black Eyed Peas,Q134541,United States of America,Unknown
"""Get Right""",Jennifer Lopez,Q40715,United States of America,female
"""Daughters""",John Mayer,Q215215,United States of America,male
"""As Good as I Once Was""",Toby Keith,Q559819,United States of America,male
"""Girlfight""",Brooke Valentine featuring Lil Jon and Big Boi,Q443292,United States of America,female
"""Lose My Breath""",Destiny's Child,Q153056,United States of America,Unknown
"""Ordinary People""",John Legend,Q44857,United States of America,male
"""We Be Burnin'""",Sean Paul,Q200577,Jamaica,male
"""Just the Girl""",The Click Five,Q933296,United States of America,Unknown
"""True""",Ryan Cabrera,Q1139628,United States of America,male
"""O""",Omarion,Q361683,United States of America,male
"""Back Then""",Mike Jones,Q954623,United States of America,male
"""Numb/Encore""",Jay-Z and Linkin Park,Q62766,United States of America,male
"""Wonderful""",Ja Rule featuring R. Kelly and Ashanti,Q309843,United States of America,male
"""I'm Sprung""",T-Pain,Q221155,United States of America,male
"""Chariot""",Gavin DeGraw,Q337722,United States of America,male
"""U Already Know""",112 featuring Foxy Brown,Q170487,United States of America,Unknown
"""Mississippi Girl""",Faith Hill,Q464241,United States of America,female
"""Number One Spot""",Ludacris,Q193676,United States of America,male
"""Give Me That""",Webbie featuring Bun B,Q2605514,United States of America,male
